type,name,href,img
草部,藿香,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%97%BF%E9%A6%99,http://p.ayxbk.com/images/thumb/b/b2/Bk1yv.jpg/220px-Bk1yv.jpg
草部,熏草（零陵香）,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%86%8F%E8%8D%89%EF%BC%88%E9%9B%B6%E9%99%B5%E9%A6%99%EF%BC%89,
草部,兰草,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%85%B0%E8%8D%89,
草部,泽兰,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%B3%BD%E5%85%B0,http://p.ayxbk.com/images/0/0a/Bk4zq.jpg
草部,马兰,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%A9%AC%E5%85%B0,http://p.ayxbk.com/images/thumb/b/b6/Bkljt.jpg/220px-Bkljt.jpg
草部,香薷,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%A6%99%E8%96%B7,http://p.ayxbk.com/images/3/3b/Bk4d2.jpg
草部,假苏,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%81%87%E8%8B%8F,
草部,薄荷,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%96%84%E8%8D%B7,http://p.ayxbk.com/images/thumb/5/5e/Bk0hl.jpg/220px-Bk0hl.jpg
草部,水苏,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%B0%B4%E8%8B%8F,http://p.ayxbk.com/images/thumb/6/60/Bkf77.jpg/220px-Bkf77.jpg
草部,菊,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8F%8A,
草部,野菊,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%87%8E%E8%8F%8A,http://p.ayxbk.com/images/b/b0/Bkg0p.jpg
草部,淹闾,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%B7%B9%E9%97%BE,
草部,艾,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%89%BE,
草部,茵陈蒿,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8C%B5%E9%99%88%E8%92%BF,http://p.ayxbk.com/images/thumb/f/fb/Bkn0d.jpg/220px-Bkn0d.jpg
草部,青蒿,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%9D%92%E8%92%BF,http://p.ayxbk.com/images/c/ca/Bkna7.jpg
草部,白蒿,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%99%BD%E8%92%BF,http://p.ayxbk.com/images/d/d8/Bk4uq.jpg
草部,茺蔚（益母草）,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8C%BA%E8%94%9A%EF%BC%88%E7%9B%8A%E6%AF%8D%E8%8D%89%EF%BC%89,
草部,夏枯草,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%A4%8F%E6%9E%AF%E8%8D%89,http://p.ayxbk.com/images/thumb/c/c1/Bk4bw.jpg/220px-Bk4bw.jpg
草部,刘寄奴草,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%88%98%E5%AF%84%E5%A5%B4%E8%8D%89,
草部,旋夏花,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%97%8B%E5%A4%8F%E8%8A%B1,
草部,青葙,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%9D%92%E8%91%99,http://p.ayxbk.com/images/thumb/5/5e/Bkemy.jpg/220px-Bkemy.jpg
草部,鸡冠,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E9%B8%A1%E5%86%A0,
草部,红蓝花,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%BA%A2%E8%93%9D%E8%8A%B1,
草部,番红花,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%95%AA%E7%BA%A2%E8%8A%B1,http://p.ayxbk.com/images/thumb/6/63/Bkmre.jpg/220px-Bkmre.jpg
草部,燕脂,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%87%95%E8%84%82,
草部,大蓟、小蓟,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%A4%A7%E8%93%9F%E3%80%81%E5%B0%8F%E8%93%9F,
草部,续断,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E7%BB%AD%E6%96%AD,http://p.ayxbk.com/images/thumb/6/64/Bk4jo.jpg/220px-Bk4jo.jpg
草部,漏卢,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%BC%8F%E5%8D%A2,
草部,苎麻,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8B%8E%E9%BA%BB,http://p.ayxbk.com/images/a/a5/Bkmzs.jpg
草部,苘麻,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%8B%98%E9%BA%BB,http://p.ayxbk.com/images/thumb/9/96/Bkeny.jpg/220px-Bkeny.jpg
草部,大青,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%A4%A7%E9%9D%92,http://p.ayxbk.com/images/thumb/e/e6/Bkcjk.jpg/220px-Bkcjk.jpg
草部,小青,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%B0%8F%E9%9D%92,
草部,胡芦巴,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%83%A1%E8%8A%A6%E5%B7%B4,http://p.ayxbk.com/images/9/99/Bk1sm.jpg
草部,蠡实,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E8%A0%A1%E5%AE%9E,
草部,恶实,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E6%81%B6%E5%AE%9E,
草部,呆耳,http://www.a-hospital.com/w/%E6%9C%AC%E8%8D%89%E7%BA%B2%E7%9B%AE/%E5%91%86%E8%80%B3,
